error,time
-191,1762746322.6430836
-191,1762746322.6592038
-191,1762746322.6752045
-180,1762746322.6911557
-181,1762746322.707142
-165,1762746322.7231605
-165,1762746322.7391942
-149,1762746322.755163
-150,1762746322.7711542
-150,1762746322.7871604
-128,1762746322.8032029
-129,1762746322.8191721
-104,1762746322.851218
-103,1762746322.867242
-105,1762746322.883307
-81,1762746322.899271
-82,1762746322.9152694
-54,1762746322.9312696
-54,1762746322.9472923
-26,1762746322.9633062
-28,1762746322.9792898
-28,1762746322.9953005
6,1762746323.011302
6,1762746323.027301
37,1762746323.0433388
37,1762746323.0593696
36,1762746323.0753474
63,1762746323.0913877
64,1762746323.1073458
85,1762746323.1233635
84,1762746323.1393688
96,1762746323.1553833
96,1762746323.1713834
96,1762746323.1874385
102,1762746323.2034898
102,1762746323.2354262
355,1762746323.2514746
99,1762746323.2674649
99,1762746323.2834568
91,1762746323.299498
92,1762746323.3155496
78,1762746323.3314996
80,1762746323.3474944
57,1762746323.363586
58,1762746323.3795204
59,1762746323.3955443
29,1762746323.411675
33,1762746323.427579
-3,1762746323.4435668
-3,1762746323.4595652
-5,1762746323.475587
-42,1762746323.491626
-43,1762746323.5076022
-84,1762746323.5236714
-86,1762746323.5396311
-131,1762746323.5556557
-129,1762746323.5716639
783,1762746323.5876806
782,1762746323.6036625
-173,1762746323.6359856
-195,1762746323.6520395
-195,1762746323.6681871
-194,1762746323.6841516
-202,1762746323.7001717
-202,1762746323.716146
-208,1762746323.73211
-207,1762746323.7480333
-192,1762746323.7638905
-191,1762746323.77986
-191,1762746323.7958622
-174,1762746323.8118289
-173,1762746323.8278148
-156,1762746323.8438284
-155,1762746323.8598382
-154,1762746323.8758278
-133,1762746323.8918617
-131,1762746323.907859
-103,1762746323.9238837
-105,1762746323.9401362
-77,1762746323.9559004
-76,1762746323.9718955
-76,1762746323.9878967
-44,1762746324.0200891
-44,1762746324.0363295
-11,1762746324.0522578
-10,1762746324.0680976
-12,1762746324.0839827
28,1762746324.0999758
26,1762746324.1159787
61,1762746324.1319814
61,1762746324.148175
88,1762746324.1639972
89,1762746324.1800308
90,1762746324.1960506
108,1762746324.212056
108,1762746324.2280533
116,1762746324.2440543
116,1762746324.2600489
116,1762746324.2760942
114,1762746324.2920825
113,1762746324.3080785
105,1762746324.3240786
105,1762746324.3401015
91,1762746324.3561938
91,1762746324.3721356
91,1762746324.388135
73,1762746324.4201353
74,1762746324.436159
51,1762746324.4521637
52,1762746324.4681623
53,1762746324.4841952
30,1762746324.5001948
31,1762746324.516191
4,1762746324.5321956
